node,out_degree_centrality,in_degree_centrality,katz_centrality,closeness_centrality,betweenness_centrality
3_Juno,0.0022,0.0012,0.0076,0.2764,0.0
3rd_century,0.0081,0.0074,0.0135,0.3644,0.0002
4-2-0,0.001,0.0007,0.0073,0.2057,0.0
4-4-0,0.0025,0.0017,0.0076,0.2571,0.0006
4-6-0,0.0012,0.001,0.0074,0.2551,0.0
47_Ursae_Majoris,0.004,0.0007,0.0073,0.2081,0.0005
47_Ursae_Majoris_b,0.0032,0.0005,0.0072,0.1723,0.0
47_Ursae_Majoris_c,0.0027,0.0005,0.0072,0.1723,0.0
4_Vesta,0.0052,0.0017,0.0079,0.2831,0.0
4th_century,0.0077,0.0116,0.0177,0.3861,0.0003
55_Cancri,0.0057,0.002,0.0078,0.2713,0.0011
55_Cancri_b,0.0035,0.0012,0.0075,0.2135,0.0
55_Cancri_c,0.0032,0.001,0.0074,0.2135,0.0
55_Cancri_d,0.0037,0.001,0.0074,0.2135,0.0
55_Cancri_e,0.004,0.0005,0.0072,0.2134,0.0
5th_century,0.0089,0.0133,0.0186,0.3924,0.0004
6-2-0,0.0007,0.0002,0.0072,0.2045,0.0
6th_century,0.0109,0.0109,0.0163,0.38,0.0003
7th_century,0.0101,0.0151,0.0212,0.3921,0.0009
8th_century,0.0111,0.0128,0.0172,0.3855,0.0006
90377_Sedna,0.004,0.002,0.0078,0.2752,0.0001
9th_century,0.0111,0.0173,0.0228,0.4064,0.0007
ABO_blood_group_system,0.0049,0.0005,0.0072,0.2434,0.0002
AIDS,0.0099,0.0178,0.0192,0.3996,0.001
AK-47,0.0086,0.0012,0.0075,0.2771,0.0
ALCO_FA,0.0015,0.0005,0.0073,0.2548,0.0
ASCII,0.0012,0.0017,0.0081,0.3196,0.0001
AT&T,0.0025,0.0035,0.0084,0.3149,0.0002
A_Christmas_Carol,0.0042,0.001,0.0075,0.2827,0.0
A_Tale_of_a_Tub,0.004,0.0007,0.0073,0.2433,0.0
A_cappella,0.0027,0.002,0.0084,0.3322,0.0001
Aachen,0.0081,0.0047,0.0098,0.3371,0.0002
Aardvark,0.0049,0.0007,0.0073,0.2492,0.0
Aarhus,0.0062,0.0005,0.0077,0.3221,0.0
Abacus,0.0022,0.0022,0.009,0.3485,0.0001
Abadan,0.0027,0.0002,0.0072,0.2591,0.0
Abbasid,0.0042,0.0067,0.0125,0.3522,0.0
Abbey,0.0044,0.0022,0.0084,0.3214,0.0
Abbey_Theatre,0.004,0.002,0.0079,0.3047,0.0003
Abbot,0.0052,0.0037,0.0091,0.3348,0.0001
Abel_Tasman,0.0035,0.0012,0.0083,0.332,0.0
Aberdeen,0.0109,0.0054,0.0102,0.3471,0.0002
Aberration_of_light,0.0042,0.0002,0.0072,0.2589,0.0
Aberystwyth,0.003,0.001,0.0077,0.3021,0.0
Abhidhamma_Pitaka,0.0012,0.0005,0.0076,0.3125,0.0
Abidjan,0.0054,0.002,0.0094,0.3483,0.0001
Abkhazia,0.0077,0.0027,0.009,0.3297,0.0
Able_Archer_83,0.0035,0.0002,0.0074,0.3064,0.0
Abraham_Lincoln,0.0086,0.0143,0.0162,0.3938,0.0008
Absinthe,0.0089,0.0012,0.0075,0.279,0.0003
Absolute_zero,0.004,0.0022,0.0082,0.298,0.0001
Abstract_art,0.0015,0.0025,0.0085,0.3237,0.0
Abu_Dhabi,0.0057,0.0017,0.0089,0.3423,0.0001
Abuja,0.0012,0.002,0.0091,0.3441,0.0
Acceleration,0.0017,0.0049,0.0093,0.3135,0.0
Accountancy,0.0037,0.0012,0.0077,0.3139,0.0001
Accra,0.0032,0.0015,0.0089,0.3435,0.0
Acetic_acid,0.0146,0.004,0.0088,0.3124,0.0007
Acetone,0.0022,0.0035,0.0085,0.3138,0.0001
Achilles,0.0057,0.003,0.0085,0.3092,0.0001
Acid_rain,0.0069,0.0035,0.0096,0.3503,0.0002
Acorn_Computers,0.0057,0.0002,0.0072,0.2521,0.0
Actinium,0.004,0.0025,0.0082,0.2715,0.0
Action_potential,0.003,0.0025,0.008,0.286,0.0001
Actor,0.0032,0.0096,0.0108,0.3364,0.0004
Acts_of_Union_1707,0.0017,0.0049,0.0133,0.3882,0.0
Adam_Smith,0.0067,0.0094,0.0138,0.3795,0.0003
Addis_Ababa,0.002,0.0027,0.0093,0.3433,0.0
Adelaide,0.0054,0.004,0.0094,0.3439,0.0004
Adenosine_triphosphate,0.0032,0.004,0.0089,0.3212,0.0
Adolf_Hitler,0.0193,0.0249,0.0251,0.4105,0.0016
Advertising,0.0052,0.0099,0.0133,0.3915,0.0007
Aesthetics,0.0116,0.0086,0.0124,0.364,0.0008
Afghan_Hound,0.0022,0.0002,0.0074,0.2952,0.0
Afghanistan,0.0163,0.0323,0.0339,0.4189,0.0024
Africa,0.0523,0.1064,0.0774,0.4918,0.0264
African_American_literature,0.0072,0.0005,0.0073,0.2615,0.0
African_Buffalo,0.0047,0.0005,0.0073,0.2514,0.0
African_Darter,0.002,0.0002,0.0072,0.1937,0.0
African_Great_Lakes,0.0054,0.0022,0.0089,0.3381,0.0001
African_Grey_Parrot,0.0042,0.0002,0.0072,0.2548,0.0
African_Penguin,0.0035,0.0007,0.0074,0.2816,0.0
African_Union,0.022,0.0094,0.0161,0.3649,0.0005
African_Wild_Dog,0.0025,0.0007,0.0074,0.269,0.0
African_clawed_frog,0.0015,0.0007,0.0073,0.2416,0.0
African_dwarf_frog,0.0015,0.0002,0.0072,0.2414,0.0
African_slave_trade,0.0059,0.0017,0.0077,0.2939,0.0
Afrikaans,0.0104,0.0047,0.0107,0.3604,0.0003
Agamemnon,0.0027,0.0022,0.008,0.2926,0.0
Age_of_Enlightenment,0.0131,0.0138,0.0188,0.4041,0.0011
Aggregator,0.0015,0.0005,0.0072,0.2341,0.0
Agnosticism,0.0017,0.003,0.0114,0.3766,0.0
Agriculture,0.0141,0.056,0.0528,0.4745,0.0056
Airbus,0.0077,0.0027,0.0114,0.3796,0.0001
Airbus_A380,0.0101,0.0027,0.0099,0.3623,0.0003
Aircraft,0.0044,0.0109,0.013,0.368,0.0003
Aircraft_carrier,0.0096,0.0049,0.0104,0.3537,0.0001
Airship,0.0067,0.003,0.0092,0.3453,0.0003
Ajax_(programming),0.0005,0.0007,0.0073,0.2585,0.0
Akbar,0.004,0.0025,0.0085,0.3292,0.0001
Akhenaten,0.003,0.0012,0.0083,0.3341,0.0
Akira_Kurosawa,0.003,0.0007,0.0073,0.2482,0.0005
Akkadian_Empire,0.0037,0.0012,0.0078,0.3081,0.0
Akrotiri_and_Dhekelia,0.0037,0.0017,0.0087,0.3339,0.0
Aksumite_currency,0.0035,0.0002,0.0073,0.2697,0.0002
Al_Jazeera,0.0086,0.0017,0.0081,0.3097,0.0
Alan_Turing,0.0054,0.0027,0.0082,0.3044,0.0002
Albania,0.0343,0.02,0.0302,0.4195,0.0006
Albatross,0.0156,0.0025,0.0087,0.3363,0.0009
Albert_Einstein,0.0215,0.0212,0.0186,0.3874,0.0043
Alberto_Santos-Dumont,0.0059,0.001,0.0074,0.286,0.0
Albigensian_Crusade,0.0015,0.0022,0.0083,0.3232,0.0
Albinism,0.0022,0.0012,0.0075,0.2689,0.0003
Albrecht_Dürer,0.0069,0.003,0.0086,0.329,0.0001
Alchemy,0.0225,0.0126,0.0151,0.3773,0.0024
Alcibiades,0.003,0.0017,0.0079,0.3101,0.0001
Alcohol,0.0077,0.0116,0.015,0.3831,0.0013
Aleksandr_Pushkin,0.003,0.0022,0.0088,0.3391,0.0
Aleksandr_Vasilevsky,0.0025,0.0007,0.0074,0.2754,0.0
Alexander_Graham_Bell,0.0047,0.002,0.0085,0.3414,0.0002
Alexander_Hamilton,0.0057,0.0054,0.0106,0.3533,0.0001
Alexander_the_Great,0.0138,0.018,0.0183,0.3776,0.0009
Alfred_Hitchcock,0.0057,0.0037,0.0084,0.3031,0.0002
Alfred_Nobel,0.0037,0.0012,0.0085,0.3448,0.0001
Alfred_the_Great,0.0072,0.0047,0.0108,0.3606,0.0003
Algebra,0.0052,0.0047,0.0106,0.3531,0.0006
Algeria,0.0133,0.024,0.032,0.4191,0.0009
Algerian_Civil_War,0.004,0.0002,0.0074,0.2953,0.0
Algiers,0.0123,0.0035,0.01,0.354,0.0001
Algol,0.0027,0.0007,0.0075,0.2871,0.0
Algorithm,0.0049,0.0062,0.0098,0.3392,0.0007
Alice's_Adventures_in_Wonderland,0.0054,0.002,0.0078,0.2939,0.0003
All_Blacks,0.0035,0.0015,0.0081,0.3197,0.0002
Allah,0.0032,0.0042,0.0101,0.348,0.0
Allegory_in_the_Middle_Ages,0.0015,0.0005,0.0073,0.2816,0.0
Alligator,0.0035,0.0007,0.0075,0.2787,0.0
Alliterative_verse,0.0022,0.0007,0.0073,0.2375,0.0
Allosaurus,0.0064,0.0017,0.0078,0.2875,0.0003
Almaty,0.0015,0.0012,0.0079,0.3139,0.0
Almond,0.0081,0.0027,0.009,0.345,0.0002
Alpaca,0.0049,0.001,0.0078,0.3111,0.0
Alphabet,0.0035,0.0044,0.0093,0.3376,0.0001
Alternating_current,0.004,0.0052,0.0091,0.3185,0.0001
Alternation_of_generations,0.0012,0.0002,0.0072,0.2517,0.0
Alternative_rock,0.0064,0.004,0.0086,0.3139,0.0001
Aluminium,0.0198,0.0264,0.0204,0.3806,0.0029
Aluminium_chloride,0.0032,0.0015,0.0077,0.2785,0.0
Alzheimer's_disease,0.0022,0.003,0.009,0.3487,0.0001
Amaranth_oil,0.0005,0.0002,0.0072,0.206,0.0
"Amarillo,_Texas",0.0109,0.0007,0.0074,0.2633,0.0006
Amazon_Basin,0.003,0.003,0.0095,0.3442,0.0
Amazon_Rainforest,0.0072,0.004,0.0099,0.3477,0.0001
Amazon_River,0.0077,0.0049,0.011,0.3594,0.0001
Amazon_parrot,0.0017,0.0002,0.0072,0.2548,0.0
Amber,0.0136,0.004,0.0096,0.3449,0.0005
American_Civil_War,0.0084,0.0326,0.0243,0.4126,0.0014
American_English,0.0074,0.0064,0.0136,0.401,0.0006
American_Revolutionary_War,0.0069,0.0109,0.0157,0.4004,0.0005
American_Samoa,0.0044,0.004,0.0112,0.3782,0.0001
American_football,0.0037,0.0158,0.0178,0.4028,0.0003
American_popular_music,0.0101,0.0017,0.0096,0.3737,0.0017
Americium,0.0042,0.003,0.0083,0.2702,0.0
Amish,0.0052,0.0015,0.008,0.3265,0.0001
Ammolite,0.0106,0.0002,0.0072,0.2396,0.0
Ammonia,0.0141,0.0128,0.0148,0.3706,0.0014
Ammonite,0.0062,0.0025,0.0083,0.315,0.0003
Ammosaurus,0.0035,0.0002,0.0072,0.2652,0.0005
Amsterdam,0.0094,0.0146,0.0176,0.3946,0.0005
Amtrak,0.0116,0.0109,0.0144,0.3851,0.0035
Amur,0.004,0.002,0.0101,0.3593,0.0
Anaconda,0.0064,0.001,0.0078,0.3154,0.0002
Analytical_Marxism,0.0017,0.0007,0.0075,0.2883,0.0
Anarchism,0.0099,0.0111,0.0133,0.3559,0.0006
Anarcho-capitalism,0.0032,0.0012,0.0078,0.3055,0.0
Anatomy,0.0012,0.0072,0.0117,0.3659,0.0001
Ancient_Egypt,0.0165,0.0286,0.0258,0.4197,0.003
Ancient_Greece,0.016,0.0388,0.0332,0.4446,0.0057
Ancient_Rome,0.0217,0.043,0.0368,0.4511,0.0062
Ancient_history,0.0269,0.0035,0.0094,0.3487,0.0005
Andes,0.0047,0.0116,0.0143,0.3673,0.0005
Andorra,0.0133,0.0096,0.0223,0.4056,0.0002
Andrés_Nocioni,0.0027,0.0002,0.0073,0.2994,0.0
Andrew_Carnegie,0.0101,0.003,0.0083,0.3102,0.0002
Andrew_Dickson_White,0.0027,0.0005,0.0073,0.2551,0.0
Andrew_Jackson,0.004,0.0052,0.0101,0.3484,0.0001
Andrew_Johnson,0.002,0.004,0.0091,0.3112,0.0
Andrew_Robinson,0.0032,0.0002,0.0072,0.221,0.0
Andriyivskyy_Descent,0.0032,0.0002,0.0072,0.2751,0.0
Andromeda_Galaxy,0.0037,0.002,0.0079,0.2821,0.0
Andy_Warhol,0.0027,0.0035,0.0086,0.317,0.0001
Anemia,0.004,0.0052,0.0091,0.3225,0.0006
Angel_shark,0.0015,0.0002,0.0072,0.2465,0.0
Angelica,0.0015,0.0005,0.0072,0.2223,0.0
Angkor,0.0027,0.0015,0.008,0.3138,0.0003
Angkor_Wat,0.0049,0.0012,0.0079,0.3185,0.0
Anglican_Church_of_Australia,0.001,0.0015,0.0078,0.3014,0.0
Anglican_Communion,0.0074,0.0101,0.0158,0.3952,0.0009
Anglicanism,0.0136,0.0096,0.0165,0.3971,0.0013
Anglo-Saxon_literature,0.0086,0.0005,0.0073,0.2699,0.0001
Angola,0.0052,0.0178,0.0225,0.3915,0.0001
Anguilla,0.0035,0.0037,0.0122,0.3927,0.0
Animal,0.0072,0.0998,0.0445,0.4067,0.0062
Animal_law,0.0002,0.0002,0.0072,0.2608,0.0
Animal_rights,0.0064,0.0052,0.0103,0.3527,0.0007
Animation,0.0007,0.0052,0.01,0.3525,0.0003
Ankylosaurus,0.0064,0.0015,0.0077,0.2768,0.0
"Ann_Arbor,_Michigan",0.0081,0.0012,0.0076,0.2904,0.0
Anna_Karenina,0.0044,0.0012,0.0076,0.282,0.0
Anne_Frank,0.0109,0.0012,0.0086,0.3392,0.0001
Anne_of_Great_Britain,0.0079,0.0069,0.0119,0.3707,0.0007
Anno_Domini,0.0089,0.0143,0.022,0.4129,0.0005
Anschluss,0.0081,0.0032,0.0096,0.337,0.0003
Ant,0.0077,0.0057,0.0094,0.3096,0.0003
Antananarivo,0.0037,0.0005,0.0081,0.3315,0.0
Antarctic_Treaty_System,0.0133,0.0007,0.0078,0.3229,0.0
Antarctic_krill,0.0084,0.0007,0.0075,0.3104,0.0001
Antarctica,0.0158,0.0242,0.0247,0.4347,0.0047
Anteater,0.002,0.001,0.0077,0.3146,0.0002
Antelope,0.0057,0.004,0.0089,0.3262,0.0018
Anthony_van_Dyck,0.0044,0.0017,0.0083,0.3236,0.0
Anthropology,0.0104,0.0123,0.0149,0.382,0.0008
Antigua_and_Barbuda,0.0084,0.0062,0.0147,0.3985,0.0002
Antimony,0.0069,0.0047,0.0099,0.3357,0.0001
Antoine_Lavoisier,0.0064,0.0042,0.0099,0.3456,0.0002
Antonín_Dvořák,0.0052,0.0017,0.0083,0.3369,0.0001
Antonio_Vivaldi,0.0047,0.0027,0.0084,0.3241,0.0001
Antwerp,0.0133,0.0104,0.014,0.3736,0.0008
Apatosaurus,0.0037,0.002,0.0077,0.2352,0.0
Ape,0.0049,0.003,0.0085,0.3259,0.0001
Aphid,0.004,0.0017,0.0079,0.3054,0.0
Apollo,0.0059,0.0072,0.01,0.3282,0.0005
Apollo_11,0.0044,0.004,0.0106,0.3788,0.0006
Apollo_8,0.0054,0.002,0.0083,0.3287,0.0003
Apostolic_Succession,0.0035,0.0035,0.0094,0.3279,0.0
Apple,0.0168,0.0057,0.0103,0.3537,0.0013
Applied_mathematics,0.0025,0.002,0.0081,0.3132,0.0001
Apricot,0.0104,0.0015,0.0077,0.2973,0.0001
Aquarium,0.0138,0.0044,0.0094,0.3445,0.0009
Arab-Israeli_conflict,0.0062,0.0035,0.0097,0.3388,0.0
Arab_League,0.0111,0.0052,0.0118,0.3506,0.0001
Arabic_language,0.0141,0.0469,0.0457,0.4558,0.002
Arable_land,0.0049,0.0064,0.012,0.366,0.0003
Aral_Sea,0.004,0.0042,0.0097,0.3375,0.0001
Arcadia_(play),0.0025,0.0005,0.0073,0.2545,0.0
Archaeoastronomy,0.0086,0.0007,0.0075,0.2867,0.0003
Archaeology,0.0106,0.0178,0.0173,0.3927,0.001
Archaeopteryx,0.0052,0.0032,0.0088,0.3312,0.0003
Archbishop_of_Canterbury,0.0064,0.0163,0.0166,0.3802,0.0004
Archimedes,0.0054,0.0032,0.0092,0.3412,0.0001
Architecture,0.0106,0.0175,0.0191,0.4067,0.001
Arctic,0.0069,0.0121,0.0164,0.3965,0.0015
Arctic_Circle,0.0032,0.0049,0.0105,0.3568,0.0001
Arctic_Monkeys,0.0059,0.0012,0.0089,0.3546,0.0006
Arctic_Ocean,0.0059,0.0086,0.0178,0.4171,0.0005
Arctic_Tern,0.0077,0.0012,0.0077,0.2924,0.0003
Arecaceae,0.0106,0.0022,0.0082,0.3086,0.0002
Argan,0.0022,0.0002,0.0072,0.2718,0.0
Argentina,0.0402,0.0432,0.0403,0.4562,0.0086
Argon,0.0077,0.0109,0.0132,0.3516,0.0002
Argyle_diamond_mine,0.0032,0.0005,0.0072,0.1938,0.0003
Ariel_Sharon,0.0069,0.002,0.0087,0.3435,0.0001
Aristarchus_(crater),0.0027,0.0002,0.0073,0.2734,0.0
Aristotle,0.0091,0.0259,0.0221,0.4112,0.0016
Arithmetic,0.0025,0.0052,0.0098,0.3418,0.0005
Armadillo,0.0035,0.0025,0.0088,0.3386,0.0001
"Armand_Jean_du_Plessis,_Cardinal_Richelieu",0.0064,0.0005,0.0075,0.3003,0.0
Armenia,0.0459,0.022,0.03,0.4196,0.0017
Armia_Krajowa,0.0035,0.0012,0.0088,0.3473,0.0001
Arnold_Schwarzenegger,0.0044,0.0017,0.0082,0.3258,0.0001
Ars_moriendi,0.0032,0.0002,0.0072,0.2784,0.0
Arsenal_F.C.,0.0052,0.0025,0.0104,0.367,0.0002
Arsenic,0.0109,0.0081,0.0119,0.359,0.0005
Art,0.016,0.0262,0.0229,0.4099,0.0029
Arthropod,0.0025,0.0099,0.0116,0.3438,0.0002
Arthur_Sullivan,0.0059,0.0012,0.0076,0.2991,0.0005
"Arthur_Wellesley,_1st_Duke_of_Wellington",0.0106,0.0059,0.0099,0.3309,0.0002
Arts_and_crafts,0.003,0.0002,0.0074,0.3038,0.0
Aruba,0.0072,0.0054,0.0144,0.3971,0.0001
Arugula,0.002,0.0007,0.0073,0.2515,0.0
Ascariasis,0.0044,0.0002,0.0072,0.2648,0.0
Asia,0.0338,0.0788,0.0635,0.4812,0.0093
Asparagus,0.0042,0.0012,0.0076,0.2962,0.0
Asperger_syndrome,0.0064,0.0007,0.0074,0.2824,0.0001
Assyria,0.004,0.0067,0.0121,0.3575,0.0001
Astatine,0.0037,0.0017,0.008,0.2697,0.0
Asteroid,0.0047,0.0133,0.0135,0.3583,0.0008
Asthma,0.0032,0.0069,0.0098,0.3337,0.0001
Astrology,0.0116,0.0081,0.0112,0.352,0.0006
Astronomy,0.0185,0.021,0.018,0.3849,0.0046
Asunción,0.003,0.0015,0.0083,0.3307,0.0
Athanasius_Kircher,0.0126,0.0007,0.0075,0.306,0.0001
Atheism,0.0114,0.0099,0.0163,0.3944,0.001
Athena,0.0042,0.0057,0.0101,0.3435,0.0004
Athens,0.021,0.0202,0.0213,0.4113,0.0022
Athletics_(track_and_field),0.0017,0.0047,0.0105,0.3529,0.0
"Atlanta,_Georgia",0.0158,0.0121,0.0147,0.3902,0.0008
Atlantic_Coast_Line_Railroad,0.0017,0.0005,0.0072,0.2234,0.0
Atlantic_Ocean,0.0309,0.057,0.0529,0.4721,0.0094
Atlantic_slave_trade,0.0143,0.0035,0.0098,0.3493,0.0005
Atlantis,0.0123,0.0025,0.0083,0.321,0.0002
Atom,0.0104,0.0163,0.0156,0.3635,0.0013
Atonality,0.0025,0.001,0.008,0.3307,0.0
Attack_on_Pearl_Harbor,0.0072,0.0062,0.015,0.4021,0.0004
Attalus_I,0.003,0.0005,0.0073,0.256,0.0
Attention-deficit_hyperactivity_disorder,0.0015,0.0012,0.0076,0.281,0.0
Attila_the_Hun,0.0086,0.0037,0.0096,0.3326,0.0001
Auckland,0.0042,0.0059,0.01,0.3445,0.0001
"Augusta,_Lady_Gregory",0.0057,0.0002,0.0072,0.2843,0.0
Augustan_literature,0.0126,0.0002,0.0072,0.2765,0.0004
Auguste_Rodin,0.004,0.0015,0.0085,0.3435,0.0001
Augustine_of_Hippo,0.0052,0.0101,0.0134,0.366,0.0003
Augustus,0.0035,0.0094,0.0153,0.3816,0.0001
Australia,0.0212,0.1281,0.0795,0.5066,0.0142
Australian_English,0.0044,0.0017,0.0095,0.3616,0.0001
Australian_Green_Tree_Frog,0.0054,0.0005,0.0076,0.2904,0.0015
Australian_Open,0.0027,0.0047,0.0096,0.3439,0.0
Australian_rules_football,0.0062,0.0035,0.0096,0.3511,0.0001
Austria,0.0119,0.0541,0.0455,0.4443,0.0024
Autism,0.0057,0.0025,0.008,0.3085,0.0001
Auto_racing,0.0037,0.003,0.012,0.3918,0.0002
Autocracy,0.0015,0.0042,0.0116,0.363,0.0
Automated_teller_machine,0.0069,0.0012,0.0077,0.3069,0.0003
Automobile,0.0077,0.0202,0.021,0.4141,0.0014
Autorack,0.0032,0.0002,0.0072,0.278,0.0
Autumn,0.0059,0.0074,0.0107,0.3482,0.0002
Avacha_Volcano,0.0017,0.0002,0.0072,0.2338,0.0
Avalanche,0.004,0.0025,0.008,0.3041,0.0
Avocado,0.0099,0.002,0.0082,0.3265,0.0002
Avon_Gorge,0.0044,0.0007,0.0074,0.2821,0.0
Avro_Lancaster,0.0047,0.0005,0.0073,0.2787,0.0
Axe,0.0062,0.0022,0.0082,0.3238,0.0001
Ayaan_Hirsi_Ali,0.0077,0.001,0.0081,0.3331,0.0001
"Aymer_de_Valence,_2nd_Earl_of_Pembroke",0.0035,0.0002,0.0072,0.2373,0.0
Azerbaijan,0.0356,0.0188,0.0289,0.412,0.001
Azerbaijani_people,0.0116,0.0022,0.0093,0.3404,0.0001
Aztec,0.0044,0.0094,0.0117,0.3563,0.0003
BAE_Systems,0.0042,0.002,0.0094,0.3575,0.0001
BASIC,0.0012,0.0005,0.0074,0.3019,0.0
BBC,0.0099,0.0385,0.025,0.4034,0.0027
BBC_television_drama,0.0077,0.0012,0.0075,0.2736,0.0005
BP,0.0062,0.0017,0.0077,0.2913,0.0
BT_Tower,0.0027,0.0005,0.0072,0.2494,0.0
B_vitamins,0.0027,0.001,0.0075,0.2835,0.0001
Babe_Ruth,0.002,0.0017,0.0079,0.3032,0.0
Baboon,0.0015,0.001,0.0075,0.2909,0.0
Babur,0.0037,0.0027,0.0093,0.3397,0.0
Babylonia,0.0054,0.0074,0.0119,0.3541,0.0004
Backgammon,0.0077,0.0017,0.0079,0.3004,0.0
Bacteria,0.0101,0.0254,0.0204,0.3928,0.0024
Badger,0.0035,0.0022,0.0083,0.3271,0.0002
Badminton,0.0049,0.004,0.012,0.3766,0.0001
Baghdad,0.0079,0.0121,0.0179,0.3883,0.0003
Bahá'í_Faith,0.0089,0.0101,0.0208,0.4232,0.0004
Bahrain,0.0091,0.0114,0.0186,0.3732,0.0002
Baker_Island,0.0022,0.001,0.0094,0.3732,0.0
Bald_Eagle,0.0072,0.0015,0.0095,0.3747,0.0008
Baltic_Sea,0.0133,0.0126,0.0215,0.4089,0.0006
"Baltimore,_Maryland",0.0094,0.0064,0.0123,0.3855,0.0006
Bamako,0.004,0.001,0.0083,0.3324,0.0
Banana,0.0148,0.0084,0.0118,0.3486,0.0005
Bandicoot,0.0017,0.0007,0.0073,0.2308,0.0
Bangalore,0.0091,0.0032,0.0093,0.3469,0.0003
Bangkok,0.0072,0.0049,0.0113,0.3605,0.0001
Bangladesh,0.0123,0.023,0.0271,0.4162,0.0016
Banjul,0.0022,0.0017,0.009,0.3432,0.0
Banknote,0.004,0.0042,0.0106,0.3555,0.0001
Banksy,0.0027,0.0002,0.0072,0.2732,0.0
Bantu,0.0032,0.0064,0.0125,0.3554,0.0001
Barack_Obama,0.0119,0.0002,0.0072,0.2541,0.0
Barbados,0.0121,0.0143,0.0187,0.4082,0.0007
Barbara_McClintock,0.003,0.0015,0.0078,0.3123,0.0
Barbary_Lion,0.0044,0.0002,0.0072,0.2464,0.0
Barbary_Macaque,0.004,0.0002,0.0073,0.2989,0.0
Barcelona,0.0133,0.0116,0.0162,0.3904,0.0005
Barium,0.0072,0.0049,0.0097,0.3301,0.0001
Barley,0.0064,0.0079,0.0114,0.352,0.0002
Barn_Owl,0.0032,0.0005,0.0073,0.2685,0.0
Barnacle,0.0032,0.0015,0.0078,0.3091,0.0
Baroque,0.0101,0.0128,0.0142,0.3602,0.0011
Barracuda,0.0032,0.0002,0.0072,0.1837,0.0
Baruch_Spinoza,0.0094,0.0042,0.0102,0.3526,0.0001
Baseball,0.0064,0.0158,0.0191,0.4033,0.0011
Basel,0.0052,0.0042,0.0088,0.3169,0.0001
Basil,0.0042,0.004,0.0084,0.2685,0.0001
Basilica_of_San_Francesco_d'Assisi,0.0012,0.0002,0.0072,0.2437,0.0
Basilica_of_Santa_Maria_degli_Angeli,0.0005,0.0002,0.0072,0.2437,0.0
Basketball,0.0072,0.0215,0.0261,0.4273,0.0013
Basking_shark,0.0047,0.0012,0.0075,0.2592,0.0
Bass_(fish),0.0007,0.0005,0.0073,0.2817,0.0
Bassoon,0.0035,0.0017,0.0077,0.2738,0.0
Bat,0.0081,0.0059,0.0097,0.3411,0.0011
Bat-eared_Fox,0.0025,0.0002,0.0072,0.2646,0.0
"Bath,_Somerset",0.0156,0.001,0.0075,0.2839,0.0001
Bath_School_disaster,0.0025,0.0002,0.0072,0.1765,0.0
Batholith,0.002,0.0012,0.0077,0.3045,0.0
Batman,0.0015,0.0022,0.0079,0.3002,0.0003
Battle_of_Alesia,0.0025,0.0007,0.0074,0.2833,0.0
Battle_of_Amiens,0.0025,0.001,0.0081,0.3293,0.0
Battle_of_Austerlitz,0.004,0.0015,0.0079,0.3056,0.0001
Battle_of_Badr,0.003,0.0005,0.0073,0.2708,0.0
